Quarter,PPNR,Type,Scenario
2009Q3,13167.0,Historical,Severely Adverse
2009Q4,11160.0,Historical,Severely Adverse
2010Q1,11547.0,Historical,Severely Adverse
2010Q2,10470.0,Historical,Severely Adverse
2010Q3,9426.0,Historical,Severely Adverse
2010Q4,10055.0,Historical,Severely Adverse
2011Q1,9226.0,Historical,Severely Adverse
2011Q2,9937.0,Historical,Severely Adverse
2011Q3,8229.0,Historical,Severely Adverse
2011Q4,6931.0,Historical,Severely Adverse
2012Q1,8367.0,Historical,Severely Adverse
2012Q2,7214.0,Historical,Severely Adverse
2012Q3,9775.0,Historical,Severely Adverse
2012Q4,7606.0,Historical,Severely Adverse
2013Q1,9699.0,Historical,Severely Adverse
2014Q3,8671.0,Historical,Severely Adverse
2014Q4,7341.0,Historical,Severely Adverse
2015Q1,9183.0,Historical,Severely Adverse
2015Q2,9312.0,Historical,Severely Adverse
2015Q3,7412.0,Historical,Severely Adverse
2015Q4,8622.0,Historical,Severely Adverse
2016Q1,9402.0,Historical,Severely Adverse
2016Q2,10742.0,Historical,Severely Adverse
2017Q2,10964.0,Historical,Severely Adverse
2017Q3,11008.0,Historical,Severely Adverse
2017Q4,9562.0,Historical,Severely Adverse
2018Q1,11827.0,Historical,Severely Adverse
2018Q2,11782.0,Historical,Severely Adverse
2018Q3,11637.0,Historical,Severely Adverse
2018Q4,10389.0,Historical,Severely Adverse
2019Q1,12728.0,Historical,Severely Adverse
2019Q2,12491.0,Historical,Severely Adverse
2021Q2,12812.0,Historical,Severely Adverse
2021Q3,12584.0,Historical,Severely Adverse
2021Q4,11369.0,Historical,Severely Adverse
2022Q1,11526.0,Historical,Severely Adverse
2022Q2,11966.0,Historical,Severely Adverse
2022Q3,13538.0,Historical,Severely Adverse
2022Q4,15525.0,Historical,Severely Adverse
2023Q1,18242.0,Historical,Severely Adverse
2023Q2,20485.0,Historical,Severely Adverse
2023Q3,18117.0,Historical,Severely Adverse
2023Q4,14088.0,Historical,Severely Adverse
2024Q1,19177.0,Historical,Severely Adverse
2024Q2,26487.0,Historical,Severely Adverse
2024Q3,20089.0,Historical,Severely Adverse
2024Q4,20006.0,Historical,Severely Adverse
2025Q1,21713.0,Historical,Severely Adverse
2025Q2,21133.0,Historical,Severely Adverse
2026Q1,19529.325636492402,Forecast,Severely Adverse
2026Q2,18203.77966778408,Forecast,Severely Adverse
2026Q3,17201.873063286483,Forecast,Severely Adverse
2026Q4,16684.889420669235,Forecast,Severely Adverse
2027Q1,16507.171086013663,Forecast,Severely Adverse
2027Q2,16445.25395971238,Forecast,Severely Adverse
2027Q3,16599.39717082642,Forecast,Severely Adverse
2027Q4,16653.832590601916,Forecast,Severely Adverse
2028Q1,16672.977952775123,Forecast,Severely Adverse
2028Q2,16858.26044059894,Forecast,Severely Adverse
2028Q3,16923.768711845507,Forecast,Severely Adverse
2028Q4,17128.235970419322,Forecast,Severely Adverse
2029Q1,17384.708494538092,Forecast,Severely Adverse
