Quarter_dt,Retail_LGD_pc
2019-04-01,0.8917201791
2019-07-01,0.8829059735
2019-10-01,0.8832838277
2020-01-01,0.8783439074
2020-04-01,0.8532557311
2020-07-01,0.8169102240
2020-10-01,0.7825612993
2021-01-01,0.8032472367
2021-04-01,0.7499451116
2021-07-01,0.6566574654
2021-10-01,0.6788876132
2022-01-01,0.6938537279
2022-04-01,0.7304504007
2022-07-01,0.7412694367
2022-10-01,0.7995816964
2023-01-01,0.8231807356
2023-04-01,0.8456318104
2023-07-01,0.8583944386
2023-10-01,0.8645296392
2024-01-01,0.8763836862
2024-04-01,0.8735026867
2024-07-01,0.8583900613
2024-10-01,0.8577234424
2025-01-01,0.8501699249
2025-04-01,0.8361259004
2025-07-01,0.8205226259
2025-10-01,0.8183059879
