Quarter_dt,Retail_Proxy_DR,Retail_Proxy_AvgLoan,Retail_LGD,Retail_LGD_pc
2000-01-01,0.0436,161806,6349.2674400000005,0.039240000000000004
2000-04-01,0.0449,172818,6983.57538,0.04041
2000-07-01,0.045,183728,7440.984,0.0405
2000-10-01,0.0448,196106,7906.99392,0.04032
2001-01-01,0.0467,172441,7247.695229999999,0.04203
2001-04-01,0.0474,167221,7133.647859999999,0.04266
2001-07-01,0.0475,164774,7044.088500000001,0.04275
2001-10-01,0.0453,176864,7210.74528,0.04077
2002-01-01,0.0481,180857,7829.299529999999,0.043289999999999995
2002-04-01,0.0467999999999999,183338,7722.196559999983,0.04211999999999991
2002-07-01,0.0474,189977,8104.418819999999,0.04266
2002-10-01,0.0471,201470,8540.313300000002,0.042390000000000004
2003-01-01,0.0449,195691,7907.87331,0.04041
2003-04-01,0.0433,188522,7346.70234,0.03897
2003-07-01,0.0412999999999999,202091,7511.722469999982,0.03716999999999991
2003-10-01,0.0425,218324,8350.893000000002,0.038250000000000006
2004-01-01,0.0411,231005,8544.874950000001,0.03699
2004-04-01,0.0401,230463,8317.40967,0.03609
2004-07-01,0.0395,270073,9601.09515,0.03555
2004-10-01,0.0391,274158,9647.620020000002,0.035190000000000006
2005-01-01,0.0366999999999999,297002,9809.976059999974,0.033029999999999914
2005-04-01,0.0366,298410,9829.6254,0.032940000000000004
2005-07-01,0.0388,301382,10524.25944,0.03492
2005-10-01,0.0356999999999999,293798,9439.729739999973,0.03212999999999991
2006-01-01,0.0391,290947,10238.424930000001,0.035190000000000006
2006-04-01,0.0421,284664,10785.91896,0.03789
2006-07-01,0.0419,292533,11031.41943,0.03771
2006-10-01,0.0399,298421,10716.29811,0.03591
2007-01-01,0.0401,302382,10912.96638,0.03609
2007-04-01,0.0406,298956,10923.852239999998,0.036539999999999996
2007-07-01,0.0443,312492,12459.056040000001,0.03987
2007-10-01,0.046,326906,13533.9084,0.0414
2008-01-01,0.0475,337577,14431.41675,0.04275
2008-04-01,0.0489,321121,14132.53521,0.04401
2008-07-01,0.0479,335203,14450.601330000001,0.04311
2008-10-01,0.0562999999999999,359070,18194.076899999967,0.05066999999999991
2009-01-01,0.0661,377396,22451.288040000003,0.05949000000000001
2009-04-01,0.0687,353355,21847.93965,0.061829999999999996
2009-07-01,0.0663,342969,20464.96023,0.05967
2009-10-01,0.0637,350338,20084.87754,0.057330000000000006
2010-01-01,0.0579,667005,34757.63055,0.052110000000000004
2010-04-01,0.0509,641225,29374.51725,0.045810000000000003
2010-07-01,0.0458,627357,25859.65554,0.04122
2010-10-01,0.0414,618387,23041.09962,0.03726
2011-01-01,0.0382,610659,20994.456420000002,0.03438
2011-04-01,0.0365,596411,19592.101349999997,0.03285
2011-07-01,0.0345,598609,18586.809450000004,0.031050000000000005
2011-10-01,0.0325,596816,17456.868000000002,0.02925
2012-01-01,0.0305,587059,16114.769549999999,0.02745
2012-04-01,0.0289999999999999,582852,15212.437199999948,0.02609999999999991
2012-07-01,0.0281,587219,14850.76851,0.02529
2012-10-01,0.0269,592353,14340.866130000002,0.024210000000000002
2013-01-01,0.0262,585702,13810.85316,0.02358
2013-04-01,0.0250999999999999,582276,13153.61483999995,0.022589999999999912
2013-07-01,0.0242,587993,12806.48754,0.02178
2013-10-01,0.0233999999999999,583437,12287.183219999948,0.021059999999999912
2014-01-01,0.0227999999999999,574074,11779.998479999947,0.02051999999999991
2014-04-01,0.0222,579509,11578.589820000001,0.01998
2014-07-01,0.0216,587703,11424.946320000001,0.019440000000000002
2014-10-01,0.021,593107,11209.7223,0.0189
2015-01-01,0.0206,584235,10831.716900000001,0.01854
2015-04-01,0.0206,580606,10764.43524,0.01854
2015-07-01,0.0208,594790,11134.4688,0.01872
2015-10-01,0.0214,617017,11883.74742,0.01926
2016-01-01,0.0210999999999999,618786,11750.746139999945,0.01898999999999991
2016-04-01,0.0219,623069,12280.689989999999,0.01971
2016-07-01,0.0227,646827,13214.67561,0.02043
2016-10-01,0.0233999999999999,660276,13905.412559999942,0.021059999999999912
2017-01-01,0.0236,652016,13848.819839999998,0.02124
2017-04-01,0.0246,653637,14471.52318,0.02214
2017-07-01,0.0249,681373,15269.56893,0.02241
2017-10-01,0.0243,718513,15713.87931,0.02187
2018-01-01,0.0243999999999999,717981,15766.862759999936,0.02195999999999991
2018-04-01,0.0245,728483,16063.050150000001,0.02205
2018-07-01,0.0245,742251,16366.63455,0.02205
2018-10-01,0.025,761475,17133.187500000004,0.022500000000000003
