Scenario,Quarter,LGD_Lag1_used,HPI_YoY_Lag1,3M_Change,VIX,Pred_Wholesale_LGD
Baseline,2026Q1,0.4420760914649902,0.013674366972269203,-0.1299999999999999,23.0,0.43481699264630846
Baseline,2026Q2,0.43481699264630846,-0.002491467262243141,-0.20000000000000018,22.0,0.4408422202833515
Baseline,2026Q3,0.4408422202833515,-0.01565049247688688,-0.19999999999999973,21.9,0.4516167931701055
Baseline,2026Q4,0.4516167931701055,-0.011014324076936588,-0.10000000000000009,22.1,0.45175300732488455
Baseline,2027Q1,0.45175300732488455,-0.004333753908607241,0.0,22.5,0.4455753765547534
Baseline,2027Q2,0.4455753765547534,0.007083461656914203,0.0,22.9,0.43637225384695527
Baseline,2027Q3,0.43637225384695527,0.004604051565377576,0.0,23.2,0.433706661983809
Baseline,2027Q4,0.433706661983809,0.0033711308611705793,0.0,23.5,0.4336750812300655
Baseline,2028Q1,0.4336750812300655,0.0027548209366392573,0.0,23.8,0.43463640082643845
Baseline,2028Q2,0.43463640082643845,0.0024464831804280607,-0.10000000000000009,24.1,0.4389951722474453
Baseline,2028Q3,0.4389951722474453,0.00274977085242889,0.0,24.3,0.43840465865514994
Baseline,2028Q4,0.43840465865514994,0.0036652412950519686,0.0,24.5,0.4379586185138101
Baseline,2029Q1,0.4379586185138101,0.0045787545787545625,0.0,24.6,0.4373853026341093
Severely Adverse,2026Q1,0.4420760914649902,0.013674366972269203,-1.23,59.7,0.5431119006278408
Severely Adverse,2026Q2,0.5431119006278408,-0.06915588106085513,-2.4,72.0,0.7057120111952353
Severely Adverse,2026Q3,0.7057120111952353,-0.1443591757810141,0.0,70.9,0.7588172630390111
Severely Adverse,2026Q4,0.7588172630390111,-0.17225869416307504,0.0,66.6,0.7942026822262801
Severely Adverse,2027Q1,0.7942026822262801,-0.19816409750031994,0.0,62.3,0.8192380521490068
Severely Adverse,2027Q2,0.8192380521490068,-0.16303630363036303,0.0,58.1,0.802654902100459
Severely Adverse,2027Q3,0.802654902100459,-0.13700564971751406,0.0,53.8,0.7697945942890418
Severely Adverse,2027Q4,0.7697945942890418,-0.1369461735627976,0.0,49.5,0.7440413979278837
Severely Adverse,2028Q1,0.7440413979278837,-0.13606993538578493,0.0,45.3,0.7216765099599811
Severely Adverse,2028Q2,0.7216765099599811,-0.08990536277602512,0.0,41.0,0.6737962976926939
Severely Adverse,2028Q3,0.6737962976926939,-0.040507364975450155,0.0,36.7,0.6107963884434315
Severely Adverse,2028Q4,0.6107963884434315,0.010606703436571996,0.0,32.5,0.539159566358868
Severely Adverse,2029Q1,0.539159566358868,0.06467223933128019,0.0,28.2,0.4610919443544461
